epoch	loss	prec1	prec5	lr
1	0.7052115201950073	52.74725341796875	100.00000762939453	0.01
2	0.7269726991653442	46.153846740722656	100.00000762939453	0.01
3	0.6903794407844543	58.241756439208984	100.00000762939453	0.01
4	0.7055761218070984	54.94505310058594	100.00000762939453	0.01
5	0.6686462759971619	56.04396057128906	100.00000762939453	0.01
6	0.6747181415557861	57.14286422729492	100.00000762939453	0.01
7	0.6902859210968018	54.94505310058594	100.00000762939453	0.01
8	0.6578687429428101	60.43956756591797	100.00000762939453	0.01
9	0.6927263736724854	53.846160888671875	100.00000762939453	0.01
10	0.6499102711677551	59.34066390991211	100.00000762939453	0.01
11	0.6469511985778809	62.637367248535156	100.00000762939453	0.01
12	0.6576122045516968	56.04396057128906	100.00000762939453	0.01
13	0.642162561416626	58.241756439208984	100.00000762939453	0.01
14	0.6329212188720703	62.637367248535156	100.00000762939453	0.01
15	0.6337751746177673	63.736270904541016	100.00000762939453	0.01
16	0.6053152680397034	72.52747344970703	100.00000762939453	0.01
17	0.6183072924613953	70.32967376708984	100.00000762939453	0.01
18	0.6173568367958069	65.93406677246094	100.00000762939453	0.01
19	0.6053368449211121	71.42857360839844	100.00000762939453	0.01
20	0.5676284432411194	78.02198028564453	100.00000762939453	0.01
