epoch	batch	iter	loss	prec1	prec5	lr
1	1	1	0.7052115201950073	52.74725341796875	100.00000762939453	0.01
2	1	2	0.7269726991653442	46.153846740722656	100.00000762939453	0.01
3	1	3	0.6903794407844543	58.24176025390625	100.00000762939453	0.01
4	1	4	0.7055761218070984	54.9450569152832	100.00000762939453	0.01
5	1	5	0.6686462759971619	56.04396057128906	100.00000762939453	0.01
6	1	6	0.6747181415557861	57.142860412597656	100.00000762939453	0.01
7	1	7	0.6902859210968018	54.9450569152832	100.00000762939453	0.01
8	1	8	0.6578687429428101	60.4395637512207	100.00000762939453	0.01
9	1	9	0.6927263736724854	53.84615707397461	100.00000762939453	0.01
10	1	10	0.6499102711677551	59.34066390991211	100.00000762939453	0.01
11	1	11	0.6469511985778809	62.637367248535156	100.00000762939453	0.01
12	1	12	0.6576122045516968	56.04396057128906	100.00000762939453	0.01
13	1	13	0.642162561416626	58.24176025390625	100.00000762939453	0.01
14	1	14	0.6329212188720703	62.637367248535156	100.00000762939453	0.01
15	1	15	0.6337751746177673	63.73626708984375	100.00000762939453	0.01
16	1	16	0.6053152680397034	72.52747344970703	100.00000762939453	0.01
17	1	17	0.6183072924613953	70.32967376708984	100.00000762939453	0.01
18	1	18	0.6173568367958069	65.93406677246094	100.00000762939453	0.01
19	1	19	0.6053368449211121	71.42857360839844	100.00000762939453	0.01
20	1	20	0.5676284432411194	78.02198028564453	100.00000762939453	0.01
