epoch	loss	prec1	prec5	lr
1	0.7052115201950073	52.74725341796875	100.00000762939453	0.04
2	0.7080234289169312	46.153846740722656	100.00000762939453	0.04
3	0.6510051488876343	63.736270904541016	100.00000762939453	0.04
4	0.6494132280349731	57.14286422729492	100.00000762939453	0.04
5	0.600070059299469	65.93406677246094	100.00000762939453	0.04
6	0.6137731075286865	64.83516693115234	100.00000762939453	0.04
7	0.6167819499969482	67.03296661376953	100.00000762939453	0.04
8	0.5557428002357483	79.12088012695312	100.00000762939453	0.04
9	0.5733786821365356	72.52747344970703	100.00000762939453	0.04
10	0.5555455684661865	72.52747344970703	100.00000762939453	0.04
