epoch	loss	prec1	prec5	lr
1	0.7233666777610779	46.153846740722656	100.00000762939453	0.04
2	0.709270715713501	48.35165023803711	100.00000762939453	0.04
3	0.6887840628623962	52.74725341796875	100.00000762939453	0.04
4	0.6737114191055298	59.34066390991211	100.00000762939453	0.04
5	0.6812660098075867	50.54945755004883	100.00000762939453	0.04
6	0.674239456653595	59.34066390991211	100.00000762939453	0.04
7	0.641956627368927	62.637367248535156	100.00000762939453	0.04
8	0.6566208004951477	57.14286422729492	100.00000762939453	0.04
9	0.6419366598129272	64.83516693115234	100.00000762939453	0.04
10	0.6652491688728333	54.94505310058594	100.00000762939453	0.04
